Name: Luis Angel Cabral Guzman
Date: 2021-07-05

COMBINATION ID., IMAGE NO., DETECTOR TYPE, DESCRIPTOR TYPE, TOTAL KEYPOINTS, KEYPOINTS ON VEHICLE, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHED KEYPOINTS, MATCHER ELAPSED TIME
22, 1, ORB, BRIEF, 500, 102, 9.84788, 0.616315, 49, 0.352536
22, 2, ORB, BRIEF, 500, 106, 7.63167, 0.621207, 43, 0.394427
22, 3, ORB, BRIEF, 500, 113, 7.58542, 0.653331, 45, 0.427174
22, 4, ORB, BRIEF, 500, 109, 7.5168, 0.693645, 59, 0.437009
22, 5, ORB, BRIEF, 500, 125, 7.47834, 0.690629, 53, 0.460317
22, 6, ORB, BRIEF, 500, 130, 8.87956, 0.716673, 78, 0.571362
22, 7, ORB, BRIEF, 500, 129, 8.19558, 0.733865, 68, 0.546049
22, 8, ORB, BRIEF, 500, 127, 9.94544, 0.71552, 84, 0.550581
22, 9, ORB, BRIEF, 500, 128, 7.64819, 0.735957, 66, 0.538284

23, 0, ORB, ORB, 500, 92, 7.58156, 4.85271, 0, 0
23, 1, ORB, ORB, 500, 102, 8.73244, 4.88532, 67, 0.398637
23, 2, ORB, ORB, 500, 106, 8.28579, 5.72449, 70, 0.704618
23, 3, ORB, ORB, 500, 113, 7.6699, 5.401, 72, 0.509778
23, 4, ORB, ORB, 500, 109, 10.0266, 4.93461, 84, 0.520559
23, 5, ORB, ORB, 500, 125, 7.94232, 7.23492, 91, 0.526993
23, 6, ORB, ORB, 500, 130, 7.55171, 4.9013, 101, 0.611456
23, 7, ORB, ORB, 500, 129, 7.52013, 4.88471, 92, 0.604762
23, 8, ORB, ORB, 500, 127, 8.95591, 4.94155, 93, 0.595088
23, 9, ORB, ORB, 500, 128, 8.52596, 6.25199, 93, 0.615551

24, 0, ORB, FREAK, 500, 92, 8.07019, 50.8739, 0, 0
24, 1, ORB, FREAK, 500, 102, 10.1161, 49.9331, 42, 0.201702
24, 2, ORB, FREAK, 500, 106, 7.68479, 48.3022, 36, 0.229459
24, 3, ORB, FREAK, 500, 113, 8.28922, 49.1251, 44, 0.235521
24, 4, ORB, FREAK, 500, 109, 8.59966, 48.4793, 47, 0.230842
24, 5, ORB, FREAK, 500, 125, 8.62753, 48.8137, 44, 0.229621
24, 6, ORB, FREAK, 500, 130, 8.70765, 49.2191, 51, 0.252145
24, 7, ORB, FREAK, 500, 129, 8.63954, 49.0392, 52, 0.263766
24, 8, ORB, FREAK, 500, 127, 9.62284, 49.0588, 48, 0.284681
24, 9, ORB, FREAK, 500, 128, 8.76655, 49.0699, 56, 0.294098

25, 0, ORB, SIFT, 500, 92, 8.76561, 64.6203, 0, 0
25, 1, ORB, SIFT, 500, 102, 8.7782, 66.6116, 42, 0.392713
25, 2, ORB, SIFT, 500, 106, 9.63033, 80.0619, 45, 0.50407
25, 3, ORB, SIFT, 500, 113, 11.9739, 81.2683, 34, 0.54796
25, 4, ORB, SIFT, 500, 109, 9.55175, 74.057, 48, 0.494889
25, 5, ORB, SIFT, 500, 125, 9.8541, 78.6204, 45, 0.532998
25, 6, ORB, SIFT, 500, 130, 9.56279, 84.2292, 54, 1.08726
25, 7, ORB, SIFT, 500, 129, 9.63205, 89.792, 53, 0.620236
25, 8, ORB, SIFT, 500, 127, 9.68508, 92.0581, 51, 0.611755
25, 9, ORB, SIFT, 500, 128, 9.62151, 84.9716, 55, 0.609331

26, 0, AKAZE, BRISK, 1351, 166, 110.341, 2.15573, 0, 0
26, 1, AKAZE, BRISK, 1327, 157, 103.124, 1.98295, 137, 0.858737
26, 2, AKAZE, BRISK, 1311, 161, 104.3, 2.80482, 125, 0.844519
26, 3, AKAZE, BRISK, 1351, 155, 113.371, 2.03455, 129, 0.816981
26, 4, AKAZE, BRISK, 1360, 163, 105.535, 2.05843, 129, 0.836328
26, 5, AKAZE, BRISK, 1347, 164, 104.551, 3.02449, 131, 0.881449
26, 6, AKAZE, BRISK, 1363, 173, 109.954, 2.24545, 132, 0.95588
26, 7, AKAZE, BRISK, 1331, 175, 111.906, 3.14898, 142, 0.99263
26, 8, AKAZE, BRISK, 1357, 177, 109.236, 2.24175, 146, 1.00556
26, 9, AKAZE, BRISK, 1331, 179, 109.583, 2.26116, 144, 1.05146

27, 0, AKAZE, BRIEF, 1351, 166, 115.373, 0.825473, 0, 0
27, 1, AKAZE, BRIEF, 1327, 157, 108.964, 0.840081, 141, 0.797787
27, 2, AKAZE, BRIEF, 1311, 161, 108.015, 0.923034, 134, 0.77761
27, 3, AKAZE, BRIEF, 1351, 155, 106.417, 0.896724, 131, 0.774176
27, 4, AKAZE, BRIEF, 1360, 163, 113.47, 0.851547, 130, 0.822634
27, 5, AKAZE, BRIEF, 1347, 164, 106.589, 0.918279, 134, 0.832724
27, 6, AKAZE, BRIEF, 1363, 173, 104.814, 1.82904, 146, 0.898932
27, 7, AKAZE, BRIEF, 1331, 175, 113.633, 0.922563, 150, 0.913457
27, 8, AKAZE, BRIEF, 1357, 177, 109.279, 0.90587, 148, 0.91282
27, 9, AKAZE, BRIEF, 1331, 179, 105.343, 0.97197, 152, 0.934754

28, 0, AKAZE, ORB, 1351, 166, 113.628, 3.20882, 0, 0
28, 1, AKAZE, ORB, 1327, 157, 106.803, 3.21672, 131, 0.854248
28, 2, AKAZE, ORB, 1311, 161, 106.293, 3.10719, 129, 0.84342
28, 3, AKAZE, ORB, 1351, 155, 102.342, 3.14924, 127, 0.81178
28, 4, AKAZE, ORB, 1360, 163, 115.613, 3.18819, 117, 0.844914
28, 5, AKAZE, ORB, 1347, 164, 103.932, 3.18858, 130, 0.863732
28, 6, AKAZE, ORB, 1363, 173, 104.299, 3.19523, 131, 0.921478
28, 7, AKAZE, ORB, 1331, 175, 112.739, 3.66722, 137, 1.00775
28, 8, AKAZE, ORB, 1357, 177, 104.705, 3.31419, 135, 0.976821
28, 9, AKAZE, ORB, 1331, 179, 103.163, 3.28889, 145, 0.976546

29, 0, AKAZE, FREAK, 1351, 166, 110.612, 49.5998, 0, 0
29, 1, AKAZE, FREAK, 1327, 157, 105.814, 49.5715, 126, 0.862076
29, 2, AKAZE, FREAK, 1311, 161, 109.396, 49.4313, 129, 0.838816
29, 3, AKAZE, FREAK, 1351, 155, 107.559, 49.7587, 127, 0.840409
29, 4, AKAZE, FREAK, 1360, 163, 110.741, 50.1358, 121, 0.855544
29, 5, AKAZE, FREAK, 1347, 164, 106.516, 56.1633, 122, 1.39572
29, 6, AKAZE, FREAK, 1363, 173, 104.776, 54.3982, 133, 0.933316
29, 7, AKAZE, FREAK, 1331, 175, 106.005, 54.4036, 144, 1.00955
29, 8, AKAZE, FREAK, 1357, 177, 107.522, 54.7453, 147, 1.03451
29, 9, AKAZE, FREAK, 1331, 179, 107.805, 50.1479, 138, 1.02144

30, 0, AKAZE, AKAZE, 1351, 166, 114.566, 95.0844, 0, 0
30, 1, AKAZE, AKAZE, 1327, 157, 104.836, 93.3284, 138, 0.978164
30, 2, AKAZE, AKAZE, 1311, 161, 100.086, 85.6742, 138, 0.92594
30, 3, AKAZE, AKAZE, 1351, 155, 113.644, 104.092, 133, 0.906809
30, 4, AKAZE, AKAZE, 1360, 163, 101.087, 90.5033, 127, 0.927885
30, 5, AKAZE, AKAZE, 1347, 164, 115.962, 91.6583, 129, 0.973959
30, 6, AKAZE, AKAZE, 1363, 173, 111.89, 97.002, 146, 1.08035
30, 7, AKAZE, AKAZE, 1331, 175, 115.109, 95.868, 147, 1.0838
30, 8, AKAZE, AKAZE, 1357, 177, 115.437, 92.9178, 151, 1.1175
30, 9, AKAZE, AKAZE, 1331, 179, 108.379, 94.5401, 150, 1.14536

31, 0, AKAZE, SIFT, 1351, 166, 111.792, 33.8122, 0, 0
31, 1, AKAZE, SIFT, 1327, 157, 105.415, 33.0833, 94, 0.993491
31, 2, AKAZE, SIFT, 1311, 161, 113.95, 33.3986, 95, 1.08385
31, 3, AKAZE, SIFT, 1351, 155, 110.988, 43.8894, 88, 0.872371
31, 4, AKAZE, SIFT, 1360, 163, 110.261, 44.8493, 86, 0.898551
31, 5, AKAZE, SIFT, 1347, 164, 106.861, 42.8623, 86, 0.931885
31, 6, AKAZE, SIFT, 1363, 173, 109.579, 45.0011, 98, 0.998487
31, 7, AKAZE, SIFT, 1331, 175, 109.468, 44.3335, 101, 1.10769
31, 8, AKAZE, SIFT, 1357, 177, 111.618, 34.4907, 117, 1.13045
31, 9, AKAZE, SIFT, 1331, 179, 103.627, 35.606, 114, 1.13215

32, 0, SIFT, BRISK, 1438, 138, 167.708, 1.771, 0, 0
32, 1, SIFT, BRISK, 1371, 132, 165.547, 1.76791, 64, 0.62629
32, 2, SIFT, BRISK, 1380, 124, 167.934, 1.64525, 66, 0.582423
32, 3, SIFT, BRISK, 1335, 137, 163.248, 1.76181, 62, 0.608869
32, 4, SIFT, BRISK, 1305, 134, 160.155, 1.74863, 66, 0.650034
32, 5, SIFT, BRISK, 1370, 140, 166.003, 1.83134, 59, 0.672031
